country,date,fert,gdppc,pop,agr_sh,ser_sh,lfp_female,educatt_primary_fem,educatt_primary_mal,educatt_primary_total,educatt_lsecond_female,educatt_lsecond_male,educatt_lsecond_total,educatt_usecond_female,educatt_usecond_male,educatt_usecond_total,year,decade
Aruba,2020,,,,,,,,,,,,,,,,2020,NA
Aruba,2019,,,106314.0,,,,,,,,,,,,,2019,2010s
Aruba,2018,1.896,,105845.0,,,,,,,,,,,,,2018,2010s
Aruba,2017,1.886,26630.2052807325,105366.0,,,,,,,,,,,,,2017,2010s
Aruba,2016,1.872,26231.0266768348,104872.0,,,,,,,,,,,,,2016,2010s
Aruba,2015,1.854,25822.2513745534,104341.0,,,,,,,,,,,,,2015,2010s
Aruba,2014,1.834,24563.2343250816,103774.0,,,,,,,,,,,,,2014,2010s
Aruba,2013,1.813,24635.764947531,103159.0,,,,,,,,,,,,,2013,2010s
Aruba,2012,1.795,23781.2572983852,102560.0,,,,,,,,,,,,,2012,2010s
Aruba,2011,1.779,24233.0010815022,102046.0,,,,,,,,,,,,,2011,2010s
Aruba,2010,1.768,23512.6025956397,101669.0,,,,90.6268005371094,92.3411331176758,91.4101409912109,58.6979789733887,63.2975883483887,60.799690246582,32.0745887756348,32.1685409545898,32.1175193786621,2010,2010s
Aruba,2009,1.761,24463.6921995023,101455.0,,,,,,,,,,,,,2009,2000s
Aruba,2008,1.759,27365.9311941508,101358.0,,,,,,,,,,,,,2008,2000s
Aruba,2007,1.76,27427.5785719272,101222.0,,,,,,,,,,,,,2007,2000s
Aruba,2006,1.765,27046.224230202,100834.0,,,,,,,,,,,,,2006,2000s
Aruba,2005,1.774,26979.8853984373,100031.0,,,,,,,,,,,,,2005,2000s
Aruba,2004,1.787,27005.5294296216,98737.0,,,,,,,,,,,,,2004,2000s
Aruba,2003,1.803,25469.2876015726,97017.0,,,,,,,,,,,,,2003,2000s
Aruba,2002,1.823,25508.3027198476,94992.0,,,,,,,,,,,,,2002,2000s
Aruba,2001,1.846,26966.0548644166,92898.0,,,,,,,,,,,,,2001,2000s
Aruba,2000,1.872,28417.3842120132,90853.0,,,,89.0695495605469,91.7502899169922,90.3229904174805,52.9307289123535,59.4788017272949,55.992431640625,,,,2000,2000s
Aruba,1999,1.903,26954.404887031,89005.0,,,,,,,,,,,,,1999,1990s
Aruba,1998,1.939,27151.9237278694,87277.0,,,,,,,,,,,,,1998,1990s
Aruba,1997,1.978,27190.5014747821,85451.0,,,,,,,,,,,,,1997,1990s
Aruba,1996,2.021,26087.7756610939,83200.0,,,,,,,,,,,,,1996,1990s
Aruba,1995,2.064,26705.1813209964,80324.0,,,,,,,,,,,,,1995,1990s
Aruba,1994,2.108,27272.3100411519,76700.0,,,,,,,,,,,,,1994,1990s
Aruba,1993,2.149,26663.2077602359,72504.0,,,,,,,,,,,,,1993,1990s
Aruba,1992,2.187,26401.968740042,68235.0,,,,,,,,,,,,,1992,1990s
Aruba,1991,2.221,26329.3131412118,64622.0,,,,,,,42.6427612304688,49.8688812255859,46.0923805236816,,,,1991,1990s
Aruba,1990,2.249,25357.7869437251,62149.0,,,,,,,,,,,,,1990,1990s
Aruba,1989,2.272,24837.9509579621,61032.0,,,,,,,,,,,,,1989,1980s
Aruba,1988,2.291,22134.0172712515,61079.0,,,,,,,,,,,,,1988,1980s
Aruba,1987,2.307,18427.6115299095,61833.0,,,,,,,,,,,,,1987,1980s
Aruba,1986,2.32,15669.6160398263,62644.0,,,,,,,,,,,,,1986,1980s
Aruba,1985,2.332,,63026.0,,,,,,,,,,,,,1985,1980s
Aruba,1984,2.342,,62836.0,,,,,,,,,,,,,1984,1980s
Aruba,1983,2.353,,62201.0,,,,,,,,,,,,,1983,1980s
Aruba,1982,2.364,,61345.0,,,,,,,,,,,,,1982,1980s
Aruba,1981,2.377,,60567.0,,,,,,,,,,,,,1981,1980s
Aruba,1980,2.392,,60096.0,,,,,,,,,,,,,1980,1980s
Aruba,1979,2.408,,59980.0,,,,,,,,,,,,,1979,1970s
Aruba,1978,2.425,,60103.0,,,,,,,,,,,,,1978,1970s
Aruba,1977,2.446,,60366.0,,,,,,,,,,,,,1977,1970s
Aruba,1976,2.472,,60586.0,,,,,,,,,,,,,1976,1970s
Aruba,1975,2.506,,60657.0,,,,,,,,,,,,,1975,1970s
Aruba,1974,2.552,,60528.0,,,,,,,,,,,,,1974,1970s
Aruba,1973,2.613,,60243.0,,,,,,,,,,,,,1973,1970s
Aruba,1972,2.691,,59840.0,,,,,,,,,,,,,1972,1970s
Aruba,1971,2.788,,59440.0,,,,,,,,,,,,,1971,1970s
Aruba,1970,2.908,,59063.0,,,,,,,,,,,,,1970,1970s
Aruba,1969,3.054,,58726.0,,,,,,,,,,,,,1969,1960s
Aruba,1968,3.226,,58386.0,,,,,,,,,,,,,1968,1960s
